loan_status,loan_amnt,int_rate,installment,grade,annual_inc,dti
Charged Off,24375.0,17.27,609.33,C,55000.0,33.95
Charged Off,16800.0,24.99,493.01,F,51000.0,25.01
Charged Off,11950.0,13.99,408.37,C,40000.0,17.76
Charged Off,35000.0,17.57,880.61,D,150000.0,15.31
Charged Off,24000.0,24.5,697.42,F,224000.0,5.41
Charged Off,11325.0,25.99,339.01,G,38000.0,17.34
Charged Off,15000.0,18.25,544.17,D,75000.0,17.2
Charged Off,18000.0,6.03,547.84,A,42000.0,6.74
Charged Off,12000.0,14.09,410.66,B,50000.0,13.07
Charged Off,6000.0,11.99,199.26,B,42238.32,22.39
Charged Off,3050.0,12.29,101.73,C,40000.0,13.11
Charged Off,12000.0,15.61,289.34,D,35000.0,6.34
Charged Off,27650.0,16.55,979.62,D,140000.0,24.78
Charged Off,35000.0,17.57,1257.8,D,75000.0,14.31
Charged Off,24000.0,15.22,573.74,C,54500.0,9.36
Charged Off,20000.0,16.99,496.95,D,100000.0,3.5
Charged Off,15000.0,16.99,372.71,D,54600.0,28.02
Charged Off,10000.0,14.33,343.39,C,75000.0,12.78
Charged Off,16950.0,20.99,458.46,E,37000.0,17.06
Charged Off,24000.0,19.99,635.72,E,97760.0,21.35
Charged Off,30000.0,16.55,1062.88,D,90000.0,20.99
Charged Off,8000.0,11.53,263.93,B,53664.0,33.08
Charged Off,8500.0,12.99,286.36,B,35000.0,23.73
Charged Off,18000.0,7.39,559.01,A,100000.0,16.61
Charged Off,30000.0,9.49,960.85,B,100000.0,13.28
Charged Off,10800.0,5.32,325.24,A,32400.0,10.37
Charged Off,30000.0,15.61,1048.95,D,92500.0,1.32
Charged Off,3500.0,18.24,126.96,D,27040.0,16.24
Charged Off,12000.0,13.33,275.07,C,38000.0,24.13
Charged Off,22675.0,17.57,570.51,D,54000.0,23.25
Charged Off,15000.0,10.78,324.5,B,71000.0,14.18
Charged Off,3750.0,12.99,126.34,C,12000.0,21.33
Charged Off,35000.0,22.99,986.47,F,153000.0,11.21
Charged Off,12000.0,15.31,417.81,C,50000.0,13.63
Charged Off,15000.0,16.55,531.44,D,65000.0,29.62
Charged Off,6000.0,17.99,216.89,D,85000.0,3.73
Charged Off,34475.0,15.8,1208.64,C,90000.0,7.17
Charged Off,10000.0,19.52,369.2,D,40000.0,14.19
Charged Off,10000.0,19.99,371.59,E,42000.0,21.24
Charged Off,6000.0,13.33,203.12,C,43000.0,18.89
Charged Off,2225.0,16.29,78.55,D,18000.0,21.27
Charged Off,17950.0,18.99,657.89,D,120000.0,1.47
Charged Off,16650.0,19.24,434.12,E,58000.0,22.57
Charged Off,14000.0,21.99,534.6,E,122073.0,0.72
Charged Off,3900.0,12.49,130.46,B,60000.0,27.48
Charged Off,28000.0,20.99,757.34,E,180000.0,7.82
Charged Off,8000.0,13.98,273.35,C,32000.0,25.84
Charged Off,8950.0,19.52,330.43,E,25000.0,33.08
Charged Off,21500.0,13.53,729.93,B,49222.0,34.9
Charged Off,7325.0,14.49,252.1,C,160000.0,7.26
Charged Off,11000.0,15.8,266.34,C,115000.0,21.5
Charged Off,11200.0,16.55,396.81,D,42000.0,14.91
Charged Off,20000.0,23.63,571.08,F,96000.0,16.98
Charged Off,22375.0,13.98,520.4,C,90000.0,20.01
Charged Off,15875.0,13.11,535.74,B,55000.0,24.96
Charged Off,8500.0,19.99,315.85,D,25000.0,16.65
Charged Off,19825.0,15.31,474.87,C,100000.0,12.34
Charged Off,16850.0,24.5,489.65,F,47000.0,21.54
Charged Off,17200.0,12.39,574.5,C,41184.0,17.89
Charged Off,12000.0,18.55,437.15,D,38000.0,2.05
Charged Off,3500.0,13.67,119.07,B,60000.0,10.22
Charged Off,12000.0,12.99,272.98,C,60000.0,20.5
Charged Off,13475.0,25.83,541.7,G,40000.0,21.78
Charged Off,6000.0,15.31,208.91,C,40000.0,27.66
Charged Off,35000.0,14.49,823.31,C,135000.0,9.64
Charged Off,35000.0,13.67,1190.62,B,150000.0,8.99
Charged Off,15925.0,20.99,430.74,E,60000.0,21.2
Charged Off,12000.0,13.98,410.02,C,42000.0,17.89
Charged Off,10000.0,11.49,329.72,B,46000.0,12.08
Charged Off,3850.0,7.69,120.1,A,25800.0,14.88
Charged Off,10000.0,19.52,369.2,E,50000.0,24.05
Charged Off,12000.0,19.19,312.55,E,37000.0,22.96
Charged Off,20000.0,22.06,553.07,F,84005.52,8.69
Charged Off,13000.0,9.17,414.43,B,32916.0,24.57
Charged Off,14000.0,16.49,344.11,D,60000.0,36.12
Charged Off,11200.0,12.12,372.65,B,45000.0,14.72
Charged Off,10000.0,9.67,321.13,B,58695.0,19.83
Charged Off,9000.0,13.11,303.73,B,42444.0,19.34
Charged Off,12000.0,13.35,406.36,C,53000.0,18.3
Charged Off,8000.0,15.31,278.54,C,35000.0,25.34
Charged Off,15000.0,15.61,361.67,C,60000.0,15.47
Charged Off,25000.0,14.65,590.17,C,80000.0,14.86
Charged Off,35000.0,12.79,1175.76,C,130000.0,16.9
Charged Off,20000.0,14.31,468.59,C,63000.0,13.5
Charged Off,21000.0,19.47,550.2,D,132000.0,17.12
Charged Off,10750.0,15.61,259.2,C,47840.0,14.7
Charged Off,25000.0,13.99,581.58,C,78500.0,1.24
Charged Off,8150.0,10.99,266.79,B,57400.0,39.77
Charged Off,6000.0,13.35,203.18,C,56160.0,13.95
Charged Off,16450.0,19.05,427.18,D,61244.0,18.75
Charged Off,24000.0,10.99,521.7,B,67000.0,18.07
Charged Off,14000.0,13.33,473.95,C,102000.0,22.89
Charged Off,20550.0,13.66,698.97,C,53600.0,16.97
Charged Off,6725.0,16.59,238.4,D,65000.0,37.81
Charged Off,20000.0,13.99,683.46,C,80000.0,19.92
Charged Off,7225.0,15.99,253.98,D,42000.0,27.02
Charged Off,10000.0,15.31,348.18,C,45000.0,27.71
Charged Off,8000.0,10.49,259.99,B,50000.0,14.26
Charged Off,9450.0,18.49,343.97,D,28000.0,11.66
Charged Off,6000.0,6.62,184.23,A,45000.0,18.83
Charged Off,15475.0,24.99,454.13,F,80000.0,18.02
Charged Off,13000.0,13.67,442.23,B,62000.0,32.34
Charged Off,28800.0,15.31,689.85,C,77000.0,15.24
Charged Off,5000.0,13.67,170.09,B,28000.0,21.71
Charged Off,24375.0,13.11,555.98,B,55000.0,20.27
Charged Off,30000.0,12.12,998.15,B,109900.0,3.82
Charged Off,5000.0,8.39,157.59,A,43000.0,19.23
Charged Off,12800.0,18.99,469.14,D,71000.0,7.98
Charged Off,15000.0,14.99,356.78,C,100000.0,10.78
Charged Off,27575.0,19.52,723.23,D,84000.0,26.5
Charged Off,21725.0,24.08,626.0,F,48500.0,26.75
Charged Off,16100.0,15.8,564.44,C,51000.0,32.56
Charged Off,7500.0,14.65,258.71,C,33000.0,21.64
Charged Off,15000.0,17.57,377.41,D,40560.0,27.84
Charged Off,1575.0,18.25,57.14,D,36908.0,8.39
Charged Off,13125.0,19.99,487.71,E,41520.0,18.52
Charged Off,7900.0,18.54,287.75,E,22000.0,10.47
Charged Off,10000.0,7.69,311.94,A,80000.0,7.61
Charged Off,21300.0,11.99,707.37,C,198475.0,13.93
Charged Off,5000.0,14.99,173.31,C,32000.0,22.59
Charged Off,14000.0,14.47,329.18,C,40000.0,18.66
Charged Off,7650.0,18.24,277.49,D,27800.0,28.28
Charged Off,6775.0,19.99,251.75,E,30000.0,15.76
Charged Off,12000.0,9.76,385.86,B,55000.0,12.72
Charged Off,8000.0,10.99,261.88,B,95000.0,11.86
Charged Off,10000.0,14.65,344.95,C,38000.0,31.68
Charged Off,7100.0,18.84,259.69,E,33000.0,24.76
Charged Off,28000.0,17.1,697.38,C,115000.0,14.56
Charged Off,10800.0,13.05,364.16,B,45889.0,24.32
Charged Off,2000.0,23.43,77.87,F,123000.0,7.54
Charged Off,5000.0,14.65,172.48,C,56000.0,28.93
Charged Off,24000.0,17.27,599.96,D,75000.0,9.23
Charged Off,7750.0,13.67,263.64,B,55000.0,4.08
Charged Off,24000.0,18.49,873.57,D,100000.0,18.67
Charged Off,21425.0,16.59,527.76,D,87000.0,23.88
Charged Off,29175.0,21.98,805.46,E,65000.0,33.14
Charged Off,21850.0,18.24,792.57,D,57000.0,21.12
Charged Off,3250.0,16.99,115.86,D,26000.0,26.96
Charged Off,10000.0,14.33,343.39,C,60000.0,13.92
Charged Off,14000.0,18.49,509.59,D,100000.0,24.1
Charged Off,18000.0,25.78,536.59,F,53000.0,20.45
Charged Off,10000.0,14.46,344.02,C,60000.0,37.86
Charged Off,35000.0,17.86,886.11,D,85728.24,34.24
Charged Off,12000.0,15.88,291.06,C,53000.0,19.04
Charged Off,7000.0,13.99,239.21,C,90000.0,19.63
Charged Off,24350.0,20.49,651.79,E,58000.0,25.97
Charged Off,10000.0,9.99,322.63,B,45000.0,7.52
