loan_status,loan_amnt,int_rate,installment,grade,annual_inc,dti
Charged Off,7200.0,21.0,271.27,E,30000.0,12.8
Charged Off,13400.0,25.83,399.86,G,56000.0,28.05
Charged Off,30000.0,15.31,1044.52,C,108000.0,7.25
Charged Off,12800.0,22.7,358.64,E,65000.0,14.82
Charged Off,28000.0,21.98,773.02,E,73000.0,6.67
Charged Off,3500.0,14.65,120.73,C,28000.0,4.89
Charged Off,15000.0,7.69,467.91,A,90000.0,13.15
Charged Off,20000.0,25.89,597.51,G,90000.0,29.21
Charged Off,20400.0,18.24,520.7,D,51000.0,32.72
Charged Off,35000.0,12.29,1167.36,C,130000.0,25.29
Charged Off,11750.0,17.57,422.27,D,49000.0,18.98
Charged Off,11500.0,13.67,391.21,B,35000.0,29.29
Charged Off,9725.0,14.46,334.56,C,90000.0,26.04
Charged Off,33000.0,12.99,1111.75,C,105000.0,23.06
Charged Off,8000.0,12.69,268.36,C,32000.0,29.37
Charged Off,30000.0,18.99,778.06,E,125000.0,20.24
Charged Off,2000.0,16.55,70.86,D,12000.0,25.0
Charged Off,10000.0,15.8,350.59,C,75000.0,14.57
Charged Off,15925.0,18.55,409.18,E,43000.0,24.59
Charged Off,18000.0,15.61,434.01,C,106000.0,13.6
Charged Off,10225.0,20.99,276.57,E,49000.0,30.79
Charged Off,10000.0,13.98,232.58,C,43000.0,21.94
Charged Off,21600.0,24.5,627.68,F,110000.0,4.0
Charged Off,15000.0,9.76,482.32,B,65000.0,10.67
Charged Off,13000.0,10.74,424.01,B,28000.0,6.68
Charged Off,10000.0,16.29,353.01,D,25000.0,43.69
Charged Off,28000.0,16.29,685.23,D,84000.0,23.77
Charged Off,5000.0,15.31,174.09,C,46000.0,21.05
Charged Off,13925.0,13.66,473.63,C,33280.0,12.59
Charged Off,3500.0,6.03,106.53,A,35000.0,17.83
Charged Off,10000.0,14.64,236.02,C,40000.0,16.86
Charged Off,5750.0,16.99,204.98,D,32000.0,24.08
Charged Off,18000.0,14.64,620.81,C,45000.0,7.36
Charged Off,15000.0,9.67,481.69,B,45000.0,29.12
Charged Off,2875.0,17.14,102.71,D,25000.0,18.48
Charged Off,10000.0,11.67,330.57,B,65000.0,8.94
Charged Off,3200.0,13.11,108.0,B,102000.0,17.71
Charged Off,13550.0,15.61,326.71,C,38000.0,21.44
Charged Off,23450.0,24.08,675.7,F,62000.0,20.85
Charged Off,14500.0,24.5,421.36,F,48000.0,36.65
Charged Off,8000.0,20.8,300.58,E,37000.0,21.13
Charged Off,14350.0,26.06,430.16,G,40000.0,35.82
Charged Off,30000.0,14.16,700.54,C,100000.0,14.94
Charged Off,19200.0,15.61,462.94,C,48000.0,21.35
Charged Off,6000.0,10.16,194.06,B,35000.0,15.26
Charged Off,35000.0,23.28,992.31,F,100000.0,22.78
Charged Off,8000.0,10.99,261.88,B,74000.0,35.16
Charged Off,15000.0,16.99,534.72,D,40000.0,16.11
Charged Off,6600.0,14.46,227.05,C,58240.0,12.59
Charged Off,15000.0,11.99,333.6,C,130000.0,10.87
Charged Off,5600.0,13.33,189.58,C,50000.0,19.01
Charged Off,6000.0,15.61,209.79,D,55000.0,22.24
Charged Off,6150.0,6.0,200.04,D,160000.0,2.43
Charged Off,4800.0,13.99,164.03,C,81000.0,9.59
Charged Off,20700.0,21.99,571.6,F,45000.0,33.79
Charged Off,13225.0,12.12,440.02,B,55000.0,25.04
Charged Off,8400.0,13.33,284.37,C,38768.0,29.66
Charged Off,15125.0,18.54,550.92,E,52800.0,18.68
Charged Off,3000.0,10.49,97.5,B,75000.0,15.43
Charged Off,2825.0,13.11,95.34,B,47000.0,21.97
Charged Off,20500.0,21.0,554.6,E,46800.0,8.69
Charged Off,30000.0,12.69,1006.35,C,108000.0,12.31
Charged Off,16000.0,11.99,531.36,B,87000.0,26.18
Charged Off,16000.0,16.29,391.56,C,42000.0,20.94
Charged Off,3000.0,16.29,105.91,C,62000.0,16.55
Charged Off,6000.0,15.81,210.38,C,60000.0,12.06
Charged Off,14250.0,18.24,516.89,D,65000.0,22.73
Charged Off,12250.0,19.2,319.13,D,54000.0,33.93
Charged Off,31975.0,25.57,949.23,F,80000.0,12.57
Charged Off,12475.0,18.25,452.57,E,65712.0,27.59
Charged Off,8000.0,14.99,277.29,C,65000.0,7.51
Charged Off,24125.0,17.57,606.99,D,110000.0,12.57
Charged Off,7375.0,21.18,278.54,E,20500.0,38.23
Charged Off,29900.0,15.61,1045.45,D,188000.0,12.03
Charged Off,13200.0,19.99,349.65,E,30000.0,28.92
Charged Off,24000.0,24.08,691.55,F,65000.0,19.18
Charged Off,14750.0,18.99,382.55,E,41000.0,25.56
Charged Off,19000.0,21.48,519.16,E,154000.0,31.79
Charged Off,7750.0,17.57,278.52,D,42000.0,13.0
Charged Off,8000.0,13.11,269.98,B,35000.0,10.58
Charged Off,6500.0,8.18,204.23,B,90000.0,14.44
Charged Off,7625.0,19.72,200.83,D,32760.0,27.36
Charged Off,9500.0,14.65,327.7,C,25000.0,20.21
Charged Off,18500.0,12.99,420.84,B,72000.0,14.82
Charged Off,6000.0,11.14,196.84,B,30846.0,27.39
Charged Off,11450.0,13.99,391.28,C,97000.0,24.62
Charged Off,21000.0,23.4,596.84,E,52000.0,23.15
Charged Off,15150.0,16.55,536.76,D,55000.0,27.81
Charged Off,6400.0,14.99,221.83,C,35000.0,11.01
Charged Off,4800.0,15.8,168.29,C,85000.0,14.75
Charged Off,15000.0,12.29,335.87,C,40000.0,22.14
Charged Off,35000.0,16.29,856.54,C,185800.0,9.27
Charged Off,19225.0,23.43,546.73,F,57000.0,22.63
Charged Off,20000.0,18.84,517.06,E,68000.0,15.28
Charged Off,3000.0,18.99,109.96,E,50000.0,26.43
Charged Off,20000.0,14.33,686.77,C,65000.0,6.42
Charged Off,8000.0,11.71,264.61,B,33000.0,21.16
Charged Off,15000.0,12.29,335.87,C,70000.0,13.27
Charged Off,24000.0,16.49,589.91,D,109804.0,16.19
Charged Off,13475.0,14.49,316.98,C,30000.0,20.12
Charged Off,20800.0,14.65,717.48,C,52000.0,24.67
Charged Off,17000.0,19.99,450.31,E,45000.0,22.43
Charged Off,25150.0,24.99,738.04,F,60000.0,29.48
Charged Off,2000.0,15.22,69.55,C,24000.0,19.61
Charged Off,15000.0,12.39,336.64,C,55000.0,28.8
Charged Off,24000.0,12.39,538.61,C,94000.0,30.47
Charged Off,25000.0,10.99,818.35,B,140000.0,12.0
Charged Off,14000.0,13.98,478.36,C,175000.0,9.28
Charged Off,16800.0,8.9,533.46,A,166000.0,1.44
Charged Off,28875.0,23.13,816.16,F,98000.0,9.76
Charged Off,27550.0,15.61,963.29,D,120000.0,31.97
Charged Off,10000.0,19.72,370.22,D,45000.0,23.33
Charged Off,18000.0,18.24,459.44,D,75000.0,26.26
Charged Off,21075.0,15.61,736.89,D,48000.0,29.8
Charged Off,10000.0,10.64,325.69,B,60000.0,10.42
Charged Off,8125.0,13.99,277.66,C,50000.0,27.7
Charged Off,26000.0,14.16,890.65,C,141980.0,10.57
Charged Off,20000.0,14.64,689.79,C,130000.0,3.26
Charged Off,8100.0,12.69,271.72,C,17500.0,29.97
Charged Off,10000.0,10.99,327.34,B,105000.0,21.09
Charged Off,8000.0,19.52,295.36,D,108000.0,16.14
Charged Off,10050.0,12.69,227.08,C,73000.0,8.75
Charged Off,16700.0,15.61,583.92,D,39990.0,24.31
Charged Off,8000.0,11.53,263.93,B,142079.0,16.16
Charged Off,27300.0,12.69,616.84,C,65000.0,21.2
Charged Off,9600.0,10.16,310.49,B,80860.0,14.17
Charged Off,8500.0,16.99,303.01,D,33000.0,14.98
Charged Off,35000.0,24.99,1027.1,F,88000.0,35.52
Charged Off,18000.0,17.86,455.72,D,50000.0,20.88
Charged Off,12000.0,22.15,332.46,E,49556.0,20.08
Charged Off,35000.0,27.34,1075.87,G,248900.0,35.95
Charged Off,8400.0,17.14,300.07,D,70000.0,14.57
Charged Off,20000.0,18.25,510.6,E,60000.0,18.8
Charged Off,12000.0,16.55,295.34,D,58000.0,36.75
Charged Off,6625.0,17.27,237.1,D,40000.0,33.15
Charged Off,10000.0,18.55,364.29,D,53000.0,13.27
Charged Off,18000.0,20.99,678.06,E,50000.0,28.23
Charged Off,5100.0,15.61,178.33,C,30000.0,17.8
Charged Off,14000.0,19.72,518.3,D,80000.0,21.92
Charged Off,4800.0,15.59,167.79,D,64000.0,29.55
Charged Off,10000.0,9.17,318.79,B,80000.0,14.81
Charged Off,20000.0,20.99,540.96,E,40000.0,37.11
Charged Off,10000.0,9.76,321.55,B,65000.0,16.38
Charged Off,22250.0,14.3,763.7,C,50000.0,23.86
Charged Off,1400.0,10.99,45.83,B,48000.0,33.0
Charged Off,10000.0,17.99,361.48,D,44500.0,8.25
Charged Off,5600.0,12.12,186.33,B,30000.0,20.68
Charged Off,10500.0,22.15,401.82,E,24000.0,20.35
Charged Off,13500.0,7.9,422.42,A,74000.0,13.48
Charged Off,7600.0,14.99,263.42,C,40000.0,29.19
Charged Off,15000.0,13.11,506.21,B,100000.0,11.12
Charged Off,5500.0,25.8,164.03,G,25000.0,20.98
Charged Off,28000.0,15.1,972.01,C,88400.0,23.08
Charged Off,5375.0,9.99,173.42,B,19987.07,29.78
Charged Off,20000.0,7.69,623.88,A,100000.0,22.11
Charged Off,10000.0,14.65,344.95,C,38000.0,23.85
Charged Off,17600.0,15.88,426.88,C,50000.0,21.05
Charged Off,5000.0,11.53,164.96,B,110000.0,5.02
Charged Off,18825.0,17.27,470.59,C,47000.0,10.93
Charged Off,6000.0,13.11,202.49,B,31000.0,27.75
Charged Off,8500.0,11.67,280.99,B,36000.0,32.83
Charged Off,4000.0,7.62,124.65,A,65000.0,11.1
Charged Off,10950.0,24.08,315.52,F,45000.0,16.13
Charged Off,2400.0,12.12,79.86,B,48000.0,5.93
Charged Off,18900.0,15.61,660.84,C,43000.0,22.19
Charged Off,10000.0,9.49,320.29,B,33000.0,7.83
Charged Off,32000.0,24.08,922.07,F,96000.0,19.04
Charged Off,1600.0,12.69,53.68,B,32000.0,17.18
Charged Off,8000.0,12.12,266.18,B,70000.0,17.33
Charged Off,16000.0,10.99,523.75,B,70000.0,28.68
Charged Off,12000.0,6.99,370.48,A,52000.0,18.97
Charged Off,10000.0,10.15,323.38,B,96000.0,11.31
Charged Off,10000.0,14.31,343.29,C,28800.0,32.88
Charged Off,22000.0,19.52,577.01,D,118750.0,11.61
Charged Off,7200.0,14.99,249.56,C,22000.0,24.11
Charged Off,4000.0,13.98,136.68,C,48000.0,20.7
Charged Off,16000.0,9.67,513.8,B,65500.0,4.91
Charged Off,10000.0,13.11,337.47,B,80000.0,21.65
Charged Off,24000.0,11.99,797.03,B,95000.0,13.85
Charged Off,22750.0,17.27,814.16,D,47000.0,24.87
Charged Off,13750.0,15.31,478.74,C,41600.0,28.33
Charged Off,5000.0,19.2,183.79,D,42000.0,26.94
Charged Off,20500.0,21.99,566.08,F,57000.0,12.11
Charged Off,12000.0,15.77,290.36,D,44321.0,28.73
Charged Off,19200.0,16.29,469.88,C,66400.0,18.51
Charged Off,15000.0,9.17,312.62,B,75000.0,22.64
Charged Off,8400.0,9.17,267.79,B,50000.0,18.46
Charged Off,9450.0,18.54,344.21,E,96000.0,12.74
Charged Off,31825.0,22.47,887.5,E,75000.0,33.06
Charged Off,12000.0,6.03,365.23,A,80000.0,15.54
Charged Off,15000.0,9.67,481.69,B,100000.0,8.76
Charged Off,8875.0,17.77,319.83,D,26000.0,11.03
Charged Off,20500.0,18.49,526.05,D,52000.0,20.35
Charged Off,12000.0,16.29,423.61,C,37270.5,21.7
Charged Off,26600.0,24.99,1057.48,F,60000.0,8.88
Charged Off,10975.0,12.99,369.74,B,25000.0,29.38
Charged Off,10000.0,11.99,332.1,B,34000.0,11.08
Charged Off,7200.0,19.05,264.11,D,85000.0,10.63
Charged Off,18225.0,19.05,668.52,D,41060.0,27.91
Charged Off,4000.0,17.86,144.33,D,21500.0,16.25
Charged Off,15000.0,14.33,515.08,C,100000.0,28.31
Charged Off,35000.0,23.63,999.38,F,200000.0,13.74
Charged Off,22700.0,15.88,796.73,C,120000.0,15.83
Charged Off,10000.0,11.14,328.06,B,75000.0,8.43
Charged Off,14000.0,12.99,318.48,C,85000.0,21.14
Charged Off,24700.0,20.99,668.08,E,65000.0,20.88
Charged Off,15000.0,15.31,522.26,C,85000.0,11.3
Charged Off,7200.0,14.99,249.56,C,34520.0,39.95
Charged Off,24000.0,16.55,590.68,D,64000.0,5.46
Charged Off,2625.0,13.99,89.71,C,60000.0,21.44
Charged Off,10000.0,12.69,335.45,C,32200.0,7.83
Charged Off,13000.0,10.99,425.55,B,60000.0,32.22
Charged Off,12000.0,12.29,400.24,C,52000.0,31.43
Charged Off,8000.0,7.26,247.97,A,45000.0,1.87
Charged Off,5250.0,13.66,178.57,C,30000.0,32.6
Charged Off,18000.0,10.99,589.22,B,57100.0,26.46
Charged Off,2800.0,16.29,98.85,C,56000.0,31.8
Charged Off,25475.0,17.76,643.58,D,58000.0,8.94
Charged Off,35000.0,18.75,1278.55,D,85000.0,32.16
Charged Off,7000.0,8.39,220.62,A,64000.0,14.46
Charged Off,6500.0,13.18,219.58,C,38500.0,34.91
Charged Off,5600.0,13.99,191.37,C,71000.0,20.47
Charged Off,18375.0,20.99,497.01,E,55000.0,16.89
Charged Off,10000.0,19.99,264.89,E,37000.0,30.23
Charged Off,10000.0,13.99,341.73,C,100000.0,25.55
Charged Off,22850.0,24.99,670.55,F,100000.0,6.77
Charged Off,16425.0,18.75,600.01,D,51000.0,18.78
Charged Off,15500.0,17.1,386.05,C,42600.0,22.14
Charged Off,20225.0,18.49,518.99,E,46000.0,26.61
Charged Off,6500.0,10.99,212.78,B,80000.0,7.85
Charged Off,7450.0,16.99,265.58,D,27000.0,32.36
Charged Off,3000.0,11.49,98.92,B,41000.0,26.9
Charged Off,7375.0,19.19,271.05,E,45000.0,12.72
Charged Off,35000.0,13.33,802.29,C,155000.0,11.55
Charged Off,6000.0,17.14,214.34,D,54000.0,7.07
Charged Off,11200.0,15.1,388.81,C,38000.0,26.12
Charged Off,12000.0,15.41,288.07,D,100614.0,14.83
Charged Off,11000.0,15.31,383.0,C,38000.0,24.44
Charged Off,28000.0,10.64,603.78,B,109512.0,20.35
Charged Off,15000.0,13.33,507.8,C,40000.0,37.21
Charged Off,8000.0,18.55,291.44,E,53316.0,27.1
Charged Off,16000.0,18.25,580.45,D,150000.0,30.46
Charged Off,14975.0,23.99,430.72,F,30000.0,31.76
Charged Off,18000.0,19.52,472.1,E,50000.0,24.03
Charged Off,18800.0,17.27,672.81,D,58800.0,28.73
Charged Off,20000.0,24.5,581.18,F,65000.0,26.2
Charged Off,16775.0,14.65,578.64,C,42000.0,31.63
Charged Off,16000.0,15.8,560.94,C,55000.0,9.49
Charged Off,5000.0,14.65,172.48,C,73656.0,23.08
Charged Off,14000.0,17.57,352.25,D,135000.0,14.91
Charged Off,8875.0,9.71,285.17,B,27000.0,25.78
Charged Off,25000.0,22.99,704.62,F,50000.0,24.58
Charged Off,14000.0,13.53,475.3,B,65000.0,23.89
Charged Off,10000.0,15.81,350.64,C,75000.0,14.77
Charged Off,9000.0,10.99,294.61,B,84000.0,11.4
Charged Off,11250.0,25.8,335.5,G,46000.0,29.43
Charged Off,23275.0,13.53,790.19,B,72000.0,31.03
Charged Off,5750.0,17.77,207.22,D,30000.0,10.68
Charged Off,7025.0,14.33,241.23,C,27000.0,22.98
Charged Off,12000.0,17.86,303.81,D,80000.0,12.0
Charged Off,11000.0,13.67,374.2,B,41000.0,17.29
Charged Off,8000.0,11.99,265.68,B,25000.0,12.05
Charged Off,13300.0,18.24,482.43,D,61289.0,25.98
Charged Off,6000.0,9.99,193.58,B,40000.0,25.92
Charged Off,15225.0,25.57,609.95,F,45000.0,31.63
Charged Off,20000.0,9.49,640.57,B,75000.0,8.95
Charged Off,15000.0,9.67,481.69,B,74000.0,22.06
Charged Off,14000.0,13.53,322.36,B,84000.0,13.93
Charged Off,24700.0,19.24,644.0,E,65000.0,18.46
Charged Off,7475.0,19.24,274.92,E,52000.0,13.96
Charged Off,14500.0,14.64,500.1,C,53478.0,24.37
Charged Off,9600.0,14.33,329.65,C,50000.0,17.93
Charged Off,21575.0,13.67,733.93,C,56875.0,13.74
Charged Off,28000.0,9.67,899.15,B,75000.0,22.62
Charged Off,2525.0,19.52,93.23,E,42000.0,8.63
Charged Off,8000.0,19.72,296.17,D,78000.0,24.45
Charged Off,10000.0,10.99,327.34,B,60000.0,21.56
Charged Off,6000.0,14.64,206.94,C,27250.0,9.07
Charged Off,24000.0,17.57,603.85,D,65000.0,25.22
Charged Off,25475.0,7.9,797.12,A,63000.0,6.65
Charged Off,5125.0,14.98,177.61,C,29970.0,21.59
Charged Off,8875.0,9.99,286.33,B,30000.0,20.08
Charged Off,12000.0,12.29,268.7,C,40000.0,24.62
Charged Off,15000.0,14.99,356.78,C,70000.0,23.86
Charged Off,35000.0,17.14,872.48,D,70000.0,4.31
Charged Off,26000.0,12.88,874.55,C,120000.0,13.64
Charged Off,35000.0,23.4,994.73,E,120000.0,26.91
Charged Off,6400.0,7.89,200.23,A,75000.0,21.38
Charged Off,12000.0,10.99,392.81,B,72000.0,19.17
Charged Off,35000.0,20.2,931.19,D,90000.0,11.49
Charged Off,25000.0,19.72,658.46,D,77000.0,20.26
Charged Off,5475.0,16.29,193.27,D,15336.0,24.13
Charged Off,1600.0,12.49,53.52,B,65000.0,14.35
Charged Off,20000.0,18.92,732.32,D,68650.0,29.71
Charged Off,35000.0,16.55,1240.03,D,135000.0,13.19
Charged Off,5000.0,15.61,174.83,D,50000.0,21.51
Charged Off,15850.0,15.61,554.2,D,39000.0,25.35
Charged Off,25000.0,23.99,719.06,F,80000.0,19.74
Charged Off,6150.0,22.45,236.31,E,58000.0,35.05
Charged Off,39700.0,18.25,1440.24,D,81000.0,22.85
Charged Off,14125.0,13.68,326.33,C,72900.0,19.74
Charged Off,8000.0,16.29,282.41,D,50000.0,14.5
Charged Off,18550.0,24.5,539.05,F,54000.0,23.27
Charged Off,17000.0,13.05,573.21,B,50000.0,11.06
Charged Off,10000.0,16.29,353.01,C,42000.0,17.32
Charged Off,15000.0,13.35,507.95,C,92000.0,18.31
Charged Off,6850.0,14.99,237.43,C,19128.0,32.37
Charged Off,12000.0,8.39,378.2,A,54000.0,17.4
Charged Off,5000.0,14.47,172.04,C,58000.0,22.7
Charged Off,14000.0,15.61,337.56,C,50000.0,14.52
Charged Off,5325.0,10.99,174.31,B,60000.0,12.8
