loan_status,loan_amnt,int_rate,installment,grade,annual_inc,dti
Fully Paid,7500.0,9.17,239.1,B,55000.0,28.21
Fully Paid,34000.0,7.9,1063.87,A,130580.0,25.4
Fully Paid,4600.0,12.29,153.43,C,29400.0,29.63
Fully Paid,21000.0,17.86,531.67,D,80000.0,15.67
Fully Paid,9000.0,12.35,300.44,B,59500.0,16.98
Fully Paid,15975.0,24.99,468.8,F,47000.0,2.4
Fully Paid,7475.0,12.69,250.75,C,33000.0,15.82
Fully Paid,13200.0,10.74,430.53,B,45000.0,12.8
Charged Off,8050.0,16.55,285.21,D,29500.0,28.23
Fully Paid,5600.0,7.89,175.2,A,63000.0,3.2
Charged Off,30225.0,18.24,771.47,D,65800.0,23.87
Fully Paid,4000.0,13.33,135.42,C,75000.0,5.34
Fully Paid,30000.0,16.49,1061.99,D,101000.0,15.76
Fully Paid,21000.0,12.12,698.71,B,150000.0,10.03
Charged Off,9100.0,13.99,310.98,C,41000.0,11.8
Fully Paid,12000.0,7.69,374.33,A,45000.0,19.12
Fully Paid,8000.0,12.99,269.52,B,110000.0,21.77
Fully Paid,19725.0,13.68,455.71,C,73410.0,22.23
Fully Paid,18525.0,15.88,650.19,C,42000.0,12.97
Charged Off,30000.0,23.83,860.09,F,72500.0,14.09
Charged Off,28000.0,13.67,646.74,C,104000.0,20.03
Fully Paid,19600.0,11.14,642.98,B,44000.0,20.78
Fully Paid,6500.0,9.75,208.98,B,40000.0,34.86
Fully Paid,10000.0,13.53,339.5,B,150000.0,5.7
Charged Off,18000.0,11.14,590.5,B,85000.0,11.54
Fully Paid,25600.0,7.69,798.56,A,105000.0,17.86
Charged Off,3550.0,24.99,141.13,F,120000.0,6.77
Fully Paid,16000.0,13.33,366.76,C,100000.0,6.7
Charged Off,13000.0,19.52,340.96,E,80000.0,14.93
Charged Off,6500.0,9.67,208.74,B,41000.0,11.42
Fully Paid,3500.0,8.18,109.97,B,85000.0,8.7
Fully Paid,12250.0,10.99,401.0,B,40000.0,21.99
Charged Off,13300.0,10.49,432.22,B,58000.0,23.98
Fully Paid,35000.0,12.99,1179.12,C,350000.0,8.19
Fully Paid,10000.0,13.05,337.19,B,50000.0,11.88
Fully Paid,3600.0,19.52,132.92,E,110000.0,21.3
Fully Paid,8500.0,10.15,274.88,B,70000.0,16.25
Fully Paid,25000.0,11.99,830.24,C,100000.0,13.33
Fully Paid,8975.0,14.65,309.59,C,36500.0,10.33
Charged Off,12500.0,12.12,415.9,B,45000.0,11.04
Fully Paid,10000.0,11.14,328.06,B,58000.0,8.57
