loan_status,loan_amnt,int_rate,installment,grade,annual_inc,dti
Fully Paid,7200.0,6.49,220.65,A,54000.0,2.6
Fully Paid,26300.0,16.29,928.4,C,115000.0,23.69
Fully Paid,10000.0,13.11,337.47,B,95000.0,12.04
Fully Paid,35000.0,14.64,1207.13,C,130000.0,12.19
Fully Paid,32350.0,21.98,893.11,E,72000.0,18.08
Fully Paid,15000.0,13.35,507.95,C,52000.0,11.68
Fully Paid,16000.0,12.99,539.03,B,78000.0,23.31
Fully Paid,10000.0,17.56,359.33,D,32000.0,9.83
Fully Paid,20000.0,7.9,625.81,A,76000.0,5.27
Fully Paid,10000.0,15.99,243.13,D,60000.0,11.78
Fully Paid,10000.0,13.98,341.68,C,55200.0,23.37
Fully Paid,23000.0,8.39,724.89,A,80000.0,14.49
Fully Paid,18000.0,10.99,589.22,B,90000.0,17.43
Fully Paid,12625.0,25.78,376.36,F,43000.0,33.88
Fully Paid,8000.0,12.35,267.06,B,27000.0,10.4
Fully Paid,11200.0,15.31,268.28,C,106000.0,11.82
Fully Paid,35000.0,14.65,1207.3,C,95000.0,13.2
Fully Paid,9000.0,10.75,293.59,B,25000.0,8.79
Fully Paid,21000.0,22.99,591.88,F,45000.0,34.32
Fully Paid,12000.0,14.33,412.06,C,45000.0,9.33
Fully Paid,15000.0,7.9,469.36,A,82000.0,13.57
Fully Paid,13625.0,14.64,469.92,C,36000.0,16.2
Fully Paid,35000.0,9.16,1115.6,B,110000.0,12.57
Fully Paid,6000.0,10.49,194.99,B,50000.0,21.65
Fully Paid,18000.0,7.89,364.03,A,85000.0,18.3
Fully Paid,9000.0,6.03,273.92,A,145000.0,15.42
Fully Paid,3000.0,8.9,95.26,A,50000.0,14.71
Fully Paid,9450.0,7.62,294.48,A,45000.0,20.81
Fully Paid,12000.0,6.03,365.23,A,45000.0,21.06
Fully Paid,20000.0,16.29,706.01,C,150000.0,24.45
Fully Paid,8000.0,12.69,268.36,C,98000.0,21.14
Fully Paid,15000.0,12.99,505.34,B,65000.0,10.14
Fully Paid,15000.0,11.14,492.08,B,53000.0,7.54
Fully Paid,2500.0,10.74,81.54,B,55000.0,21.2
Fully Paid,2000.0,11.53,65.99,B,102000.0,22.76
Fully Paid,15000.0,13.11,506.21,B,66900.0,15.07
Fully Paid,8000.0,13.99,273.39,C,100000.0,22.79
Fully Paid,5825.0,10.64,189.72,B,35000.0,6.41
