loan_status,loan_amnt,int_rate,installment,grade,annual_inc,dti
Fully Paid,10000.0,11.44,329.48,B,117000.0,26.24
Fully Paid,18000.0,5.32,542.07,A,125000.0,1.36
Fully Paid,18900.0,10.99,410.84,B,103000.0,12.52
Fully Paid,20000.0,8.39,630.34,A,55000.0,9.23
Fully Paid,6700.0,21.49,254.12,D,21000.0,10.86
Fully Paid,25000.0,22.15,692.61,E,80000.0,11.36
Fully Paid,11250.0,19.22,293.2,D,135000.0,10.68
Fully Paid,19000.0,12.12,632.17,B,48000.0,29.76
Charged Off,7200.0,19.97,267.47,D,72000.0,15.28
Fully Paid,10000.0,18.25,362.78,D,39000.0,28.83
Fully Paid,26000.0,15.22,904.11,C,59500.0,11.25
Fully Paid,5400.0,17.1,192.8,C,153000.0,17.9
Fully Paid,8400.0,6.92,259.07,A,105000.0,6.89
Fully Paid,25000.0,12.59,563.6,C,85000.0,5.19
Fully Paid,8325.0,16.99,296.77,D,54290.0,16.77
Charged Off,6375.0,24.5,251.79,F,20000.0,23.73
Fully Paid,8000.0,6.62,245.63,A,80000.0,26.39
Fully Paid,5000.0,17.76,180.17,D,42000.0,33.77
Fully Paid,11800.0,28.99,374.49,G,44011.0,15.68
Fully Paid,6000.0,10.99,196.41,B,63000.0,20.65
Fully Paid,9000.0,6.89,277.45,A,65000.0,8.77
Fully Paid,34350.0,28.99,1090.13,G,84000.0,16.86
Fully Paid,14675.0,15.61,513.11,C,130000.0,8.56
Fully Paid,15000.0,9.49,480.43,B,52000.0,10.06
Fully Paid,5800.0,16.29,204.75,D,18200.0,12.8
Fully Paid,25900.0,16.29,633.84,D,67000.0,31.72
Fully Paid,21000.0,9.67,674.37,B,85000.0,29.73
Charged Off,24000.0,17.57,862.49,D,85000.0,24.12
Fully Paid,12400.0,16.59,439.57,D,112000.0,15.18
Fully Paid,22950.0,17.57,577.43,D,50000.0,24.15
Charged Off,9000.0,14.48,309.71,C,25000.0,14.4
Charged Off,4000.0,15.61,139.86,D,39500.0,28.87
Fully Paid,8000.0,12.49,267.6,B,50000.0,20.91
Fully Paid,24000.0,23.28,680.44,F,55007.0,31.5
Fully Paid,3900.0,14.64,134.51,C,70000.0,16.1
Fully Paid,3800.0,18.25,137.86,E,54000.0,14.07
Fully Paid,15000.0,15.61,524.48,D,71500.0,11.75
Fully Paid,11000.0,13.98,375.85,C,65000.0,6.33
Fully Paid,10000.0,14.99,346.61,C,95000.0,26.25
Fully Paid,10000.0,7.62,311.62,A,85838.0,16.25
Fully Paid,34800.0,18.99,1275.46,E,78000.0,2.89
Fully Paid,5000.0,12.12,166.36,B,24000.0,22.75
Fully Paid,15000.0,13.05,505.78,B,64500.0,26.4
Fully Paid,4950.0,14.65,170.75,C,60000.0,19.88
Charged Off,12000.0,13.33,406.24,C,65000.0,20.39
Fully Paid,10000.0,6.62,307.04,A,43900.0,13.86
Fully Paid,2400.0,8.18,75.41,B,49464.0,17.2
Fully Paid,8275.0,9.25,264.11,A,25000.0,31.87
Fully Paid,21150.0,13.11,713.75,B,52000.0,23.26
Fully Paid,17000.0,10.99,556.48,B,97000.0,30.15
Fully Paid,15000.0,18.85,548.71,D,260000.0,14.26
Fully Paid,19200.0,19.99,508.58,E,60000.0,15.9
Charged Off,10000.0,24.08,288.15,F,44000.0,29.1
Fully Paid,8000.0,6.03,243.49,A,51000.0,18.38
Fully Paid,15000.0,10.74,489.24,B,48000.0,18.36
Charged Off,7700.0,10.15,249.0,B,47000.0,27.83
Fully Paid,16000.0,8.19,502.79,A,40000.0,35.7
Fully Paid,35000.0,22.99,986.47,F,92000.0,14.07
Fully Paid,19750.0,17.27,493.72,C,44000.0,31.99
Fully Paid,12000.0,22.45,334.51,F,46500.0,12.75
Fully Paid,15000.0,25.49,444.59,E,42000.0,10.69
Fully Paid,1000.0,7.39,31.06,A,55000.0,16.17
Charged Off,34200.0,9.17,712.77,B,94500.0,4.37
Fully Paid,10000.0,10.16,323.43,B,60000.0,12.36
Fully Paid,3850.0,12.12,128.1,B,15000.0,11.6
Fully Paid,2500.0,8.67,79.12,B,36500.0,30.29
Charged Off,21000.0,13.67,714.37,B,85000.0,28.8
Fully Paid,9600.0,10.99,314.25,B,70000.0,15.1
Fully Paid,15350.0,7.89,480.24,A,80000.0,21.5
Fully Paid,10050.0,15.8,352.34,C,30000.0,21.56
Fully Paid,19200.0,11.14,629.86,B,110000.0,5.73
Fully Paid,15000.0,10.99,326.07,B,54000.0,16.71
